title,vendor,publisher,platform,isbn,issn,eissn,yop,access_type,access_method,metric,total
Fundamentalist U,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-066562-3,,,2018,Controlled,Regular,Unique Title Requests,1
The Oxford Handbook of Global LGBT and Sexual Diversity Politics,Oxford University Press,Oxford University Press,Oxford Handbooks Online,978-0-19-067374-1,,,2019,Controlled,Regular,Unique Title Requests,1
Birth Rights and Wrongs,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-067572-1,,,2019,Controlled,Regular,Unique Title Requests,2
Enemy Number One,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-068146-3,,,2018,Controlled,Regular,Unique Title Requests,1
The Invention of Latin American Music,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-068740-3,,,2020,Controlled,Regular,Unique Title Requests,2
Contesting the Repressive State,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-068845-5,,,2017,Controlled,Regular,Unique Title Requests,3
Cabals and Satires,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-069263-6,,,1,Controlled,Regular,Unique Title Requests,1
Cabals and Satires,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-069263-6,,,2018,Controlled,Regular,Unique Title Requests,1
"Hot Contention, Cool Abstention",Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-069391-6,,,2021,Controlled,Regular,Unique Title Requests,1
Homelessness Among U.S. Veterans,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-069513-2,,,2018,Controlled,Regular,Unique Title Requests,1
Oxford Research Encyclopedia of International Studies,Oxford University Press,Oxford University Press,Oxford Research Encyclopedias,978-0-19-084662-6,,,2017,Controlled,Regular,Unique Title Requests,5
Oxford Research Encyclopedia of International Studies,Oxford University Press,Oxford University Press,Oxford Research Encyclopedias,978-0-19-084662-6,,,2018,Controlled,Regular,Unique Title Requests,1
The Science of Marijuana,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-084684-8,,,2018,Controlled,Regular,Unique Title Requests,1
Media and Protest Logics in the Digital Era,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-085677-9,,,2018,Controlled,Regular,Unique Title Requests,2
How to Land,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-087367-7,,,2018,Controlled,Regular,Unique Title Requests,1
Storm of the Sea,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-087424-7,,,2019,Controlled,Regular,Unique Title Requests,108
Women as Foreign Policy Leaders,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-087537-4,,,1,Controlled,Regular,Unique Title Requests,1
Women as Foreign Policy Leaders,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-087537-4,,,2018,Controlled,Regular,Unique Title Requests,3
The Global Gag Rule and Women's Reproductive Health,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-087612-8,,,2018,Controlled,Regular,Unique Title Requests,2
Moral Development and Reality,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-087821-4,,,2019,Controlled,Regular,Unique Title Requests,1
Make Arts for a Better Life,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-087827-6,,,2018,Controlled,Regular,Unique Title Requests,1
Cultivated by Hand,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-088490-1,,,1,Controlled,Regular,Unique Title Requests,1
Cultivated by Hand,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-088490-1,,,2020,Controlled,Regular,Unique Title Requests,5
The Resistance,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-088617-2,,,2018,Controlled,Regular,Unique Title Requests,1
Planting the Cross,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-088702-5,,,2019,Controlled,Regular,Unique Title Requests,2
We're Still Here,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-088804-6,,,2019,Controlled,Regular,Unique Title Requests,15
Framing Inequality,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-088818-3,,,2019,Controlled,Regular,Unique Title Requests,1
"Myth, Locality, and Identity in Pindar's Sicilian Odes",Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-091031-0,,,2019,Controlled,Regular,Unique Title Requests,1
Irony and Outrage,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-091308-3,,,2019,Controlled,Regular,Unique Title Requests,1
Breaking the Two-Party Doom Loop,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-091385-4,,,2020,Controlled,Regular,Unique Title Requests,1
Stranger Danger,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-091398-4,,,2020,Controlled,Regular,Unique Title Requests,10
Hearing the Crimean War,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-091674-9,,,2019,Controlled,Regular,Unique Title Requests,2
Politics in the Marketplace,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-091711-1,,,2019,Controlled,Regular,Unique Title Requests,1
Australianama,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-092260-3,,,2020,Controlled,Regular,Unique Title Requests,1
Computational Propaganda,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-093140-7,,,2018,Controlled,Regular,Unique Title Requests,2
"Come Out, Come Out, Whoever You Are",Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-093165-0,,,2020,Controlled,Regular,Unique Title Requests,1
Mobilized by Injustice,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-094064-5,,,2020,Controlled,Regular,Unique Title Requests,1
Quantum Liquids: Bose Condensation and Cooper Pairing in Condensed-matter Systems (Oxford graduate texts),EBSCO,Oxford University Press,EBSCOhost,978-0-19-103721-4,,,2006,Controlled,Regular,Unique Title Requests,1
The Politics of Electoral Systems,EBSCO,Oxford University Press,EBSCOhost,978-0-19-153151-4,,,2005,Controlled,Regular,Unique Title Requests,1
Moby Dick (Oxford world's classics),EBSCO,Oxford University Press,EBSCOhost,978-0-19-157248-7,,,1998,Controlled,Regular,Unique Title Requests,1
"Annals: The Reigns of Tiberius, Claudius, and Nero (Oxford world's classics)",EBSCO,Oxford University Press,EBSCOhost,978-0-19-160503-1,,,2008,Controlled,Regular,Unique Title Requests,36
Greek Lives: A Selection of Nine Greek Lives (Oxford world's classics),EBSCO,Oxford University Press,EBSCOhost,978-0-19-160507-9,,,1998,Controlled,Regular,Unique Title Requests,1
Roman Lives: A Selection of Eight Roman Lives (Oxford World's Classics),EBSCO,Oxford University Press,EBSCOhost,978-0-19-160508-6,,,1999,Controlled,Regular,Unique Title Requests,1
"Essential Turing: Seminal Writings in Computing, Logic, Philosophy, Artificial Intelligence, and Artificial Life, Plus the Secrets of Enigma",EBSCO,Oxford University Press,EBSCOhost,978-0-19-160686-1,,,2004,Controlled,Regular,Unique Title Requests,7
"Queer Dickens: Erotics, Families, Masculinities",EBSCO,Oxford University Press,EBSCOhost,978-0-19-160992-3,,,2009,Controlled,Regular,Unique Title Requests,6
Oxford World's Classics: Cicero: The Nature of the Gods,EBSCO,Clarendon Press,EBSCOhost,978-0-19-162314-1,,,1997,Controlled,Regular,Unique Title Requests,2
Pocket Oxford Latin Dictionary: Latin-English,Oxford University Press,Oxford University Press,Oxford Reference,978-0-19-173958-3,,,2012,Controlled,Regular,Unique Title Requests,2
An A-Z Guide to Shakespeare,Oxford University Press,Oxford University Press,Oxford Reference,978-0-19-174076-3,,,2013,Controlled,Regular,Unique Title Requests,2
A Dictionary of Food and Nutrition,Oxford University Press,Oxford University Press,Oxford Reference,978-0-19-175239-1,,,2014,Controlled,Regular,Unique Title Requests,2
A Dictionary of Social Media,Oxford University Press,Oxford University Press,Oxford Reference,978-0-19-180309-3,,,2016,Controlled,Regular,Unique Title Requests,1
Oxford Essential Quotations,Oxford University Press,Oxford University Press,Oxford Reference,978-0-19-182671-9,,,2016,Controlled,Regular,Unique Title Requests,2
A Dictionary of Gender Studies,Oxford University Press,Oxford University Press,Oxford Reference,978-0-19-183483-7,,,2017,Controlled,Regular,Unique Title Requests,6
A Dictionary of Organizational Behaviour,Oxford University Press,Oxford University Press,Oxford Reference,978-0-19-184327-3,,,2019,Controlled,Regular,Unique Title Requests,1
Oxford Essential Quotations,Oxford University Press,Oxford University Press,Oxford Reference,978-0-19-184373-0,,,2017,Controlled,Regular,Unique Title Requests,2
A Dictionary of Astronomy,Oxford University Press,Oxford University Press,Oxford Reference,978-0-19-185119-3,,,2018,Controlled,Regular,Unique Title Requests,1
A Dictionary of the Internet,Oxford University Press,Oxford University Press,Oxford Reference,978-0-19-188427-6,,,2019,Controlled,Regular,Unique Title Requests,1
The Oxford Companion to Twentieth-Century Literature in English,Oxford University Press,Oxford University Press,Oxford Reference,978-0-19-212271-1,,,2005,Controlled,Regular,Unique Title Requests,3
Oxford Dictionary of the Classical World,Oxford University Press,Oxford University Press,Oxford Reference,978-0-19-280146-3,,,2007,Controlled,Regular,Unique Title Requests,1
Democracy,ProQuest,Oxford University Press,ProQuest Ebook Central,978-0-19-280250-7,,,2002,Controlled,Regular,Unique Title Requests,2
Citizenship,ProQuest,Oxford University Press,ProQuest Ebook Central,978-0-19-280253-8,,,2008,Controlled,Regular,Unique Title Requests,3
Clausewitz,ProQuest,Oxford University Press,ProQuest Ebook Central,978-0-19-280257-6,,,2002,Controlled,Regular,Unique Title Requests,19
Modern Art,ProQuest,Oxford University Press,ProQuest Ebook Central,978-0-19-280364-1,,,2005,Controlled,Regular,Unique Title Requests,1
The Táin : From the Irish Epic Táin Bó Cuailnge,ProQuest,Oxford University Press USA - OSO,ProQuest Ebook Central,978-0-19-280373-3,,,2002,Controlled,Regular,Unique Title Requests,1
Consciousness: A Very Short Introduction (Very short introductions),EBSCO,Oxford University Press,EBSCOhost,978-0-19-280585-0,,,2005,Controlled,Regular,Unique Title Requests,11
The Encyclopedia of Underwater Life,Oxford University Press,Oxford University Press,Oxford Reference,978-0-19-280674-1,,,2007,Controlled,Regular,Unique Title Requests,1
The Oxford Companion to English Literature,Oxford University Press,Oxford University Press,Oxford Reference,978-0-19-280687-1,,,2009,Controlled,Regular,Unique Title Requests,54
Return of Sherlock Holmes,ProQuest,Oxford University Press,ProQuest Ebook Central,978-0-19-282376-2,,,1993,Controlled,Regular,Unique Title Requests,3
Oxford World's Classics: Tacitus: The Annals,Oxford University Press,Oxford University Press,Oxford Scholarly Editions Online,978-0-19-282421-9,,,1,Controlled,Regular,Unique Title Requests,1
The Concise Oxford Companion to the Theatre,Oxford University Press,Oxford University Press,Oxford Reference,978-0-19-282574-2,,,2003,Controlled,Regular,Unique Title Requests,1
A Dictionary of Superstitions,Oxford University Press,Oxford University Press,Oxford Reference,978-0-19-282916-0,,,2003,Controlled,Regular,Unique Title Requests,1
The Concise Oxford Dictionary of English Etymology,Oxford University Press,Oxford University Press,Oxford Reference,978-0-19-283098-2,,,2003,Controlled,Regular,Unique Title Requests,1
Narrative of the Life of Frederick Douglass (Oxford world's classics),EBSCO,Project Gutenberg Literary Archive Foundation,EBSCOhost,978-0-19-283250-4,,,1999,Controlled,Regular,Unique Title Requests,1
Great Expectations (Oxford world's classics),EBSCO,Oxford University Press,EBSCOhost,978-0-19-283359-4,,,1998,Controlled,Regular,Unique Title Requests,1
Canterbury Tales,ProQuest,Oxford University Press,ProQuest Ebook Central,978-0-19-283360-0,,,1986,Controlled,Regular,Unique Title Requests,5
Leviathan (Oxford world's classics),EBSCO,Oxford University Press,EBSCOhost,978-0-19-283498-0,,,1996,Controlled,Regular,Unique Title Requests,1
The Golden bough : A study in magic and religion,EBSCO,Oxford University Press,EBSCOhost,978-0-19-283541-3,,,1994,Controlled,Regular,Unique Title Requests,1
On Christian Teaching (Oxford world's classics),EBSCO,Oxford University Press,EBSCOhost,978-0-19-283928-2,,,1999,Controlled,Regular,Unique Title Requests,22
Nationalism,ProQuest,Oxford University Press,ProQuest Ebook Central,978-0-19-284098-1,,,2005,Controlled,Regular,Unique Title Requests,1
Nationalism : A Very Short Introduction,ProQuest,Oxford University Press,ProQuest Ebook Central,978-0-19-284098-1,,,2005,Controlled,Regular,Unique Title Requests,2
African-American Art (Oxford history of art),EBSCO,Oxford University Press,EBSCOhost,978-0-19-284213-8,,,1998,Controlled,Regular,Unique Title Requests,3
Free Will: A Very Short Introduction (Very short introductions),EBSCO,Oxford University Press,EBSCOhost,978-0-19-285358-5,,,2004,Controlled,Regular,Unique Title Requests,5
Brain: A Very Short Introduction (Very short introductions ; 144),EBSCO,Oxford University Press,EBSCOhost,978-0-19-285392-9,,,2005,Controlled,Regular,Unique Title Requests,1
Gandhi: A Very Short Introduction (Very short introductions),EBSCO,Oxford University Press,EBSCOhost,978-0-19-285457-5,,,2001,Controlled,Regular,Unique Title Requests,1
The Story of Jazz,ProQuest,"Oxford University Press, Incorporated",ProQuest Ebook Central,978-0-19-501269-9,,,1970,Controlled,Regular,Unique Title Requests,1
Money in International Exchange,ProQuest,"Oxford University Press, Incorporated",ProQuest Ebook Central,978-0-19-502409-8,,,1979,Controlled,Regular,Unique Title Requests,24
Wage-Earning Women,ProQuest,Oxford University Press USA - OSO,ProQuest Ebook Central,978-0-19-502627-6,,,1979,Controlled,Regular,Unique Title Requests,3
The Subject of Semiotics,ProQuest,Oxford University Press USA - OSO,ProQuest Ebook Central,978-0-19-503178-2,,,1984,Controlled,Regular,Unique Title Requests,1
American Catholics,ProQuest,Oxford University Press USA - OSO,ProQuest Ebook Central,978-0-19-503268-0,,,1983,Controlled,Regular,Unique Title Requests,7
The Crucible of Race,ProQuest,Oxford University Press USA - OSO,ProQuest Ebook Central,978-0-19-503382-3,,,1984,Controlled,Regular,Unique Title Requests,1
Beyond Ethnicity,ProQuest,"Oxford University Press, Incorporated",ProQuest Ebook Central,978-0-19-503694-7,,,1986,Controlled,Regular,Unique Title Requests,1
"Empire of Liberty : A History of the Early Republic, 1789-1815",ProQuest,Oxford University Press USA - OSO,ProQuest Ebook Central,978-0-19-503914-6,,,2009,Controlled,Regular,Unique Title Requests,1
Knowledge Is Power,ProQuest,Oxford University Press,ProQuest Ebook Central,978-0-19-504417-1,,,1989,Controlled,Regular,Unique Title Requests,5
The Invention of Ethnicity,ProQuest,"Oxford University Press, Incorporated",ProQuest Ebook Central,978-0-19-504589-5,,,1989,Controlled,Regular,Unique Title Requests,3
The Oxford Dictionary of Byzantium,Oxford University Press,Oxford University Press,Oxford Reference,978-0-19-504652-6,,,2005,Controlled,Regular,Unique Title Requests,2
Crabgrass Frontier,ProQuest,"Oxford University Press, Incorporated",ProQuest Ebook Central,978-0-19-504983-1,,,1987,Controlled,Regular,Unique Title Requests,1
"Ghosts of the Confederacy : Defeat, the Lost Cause, and the Emergence of the New South, 1865-1913",ProQuest,"Oxford University Press, Incorporated",ProQuest Ebook Central,978-0-19-505420-0,,,1988,Controlled,Regular,Unique Title Requests,1
